Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
nitromethane;anisole;C[N+](=O)[O-];COC1=CC=CC=C1;-4.69
aceticacid;water;CC(=O)O;O;-6.7
ethanol;dichloroethane;CCO;CC(Cl)Cl;-2.83
methylhexanoate;butylbenzene;CCCCCC(=O)OC;CCCCC1=CC=CC=C1;-6.09
ethylbenzene;heptanol;CCC1=CC=CC=C1;CCCCCCCO;-4.58
dimethyldisulfide;octanol;CSSC;CCCCCCCCO;-4.24
aniline;decalin;C1=CC=C(C=C1)N;C1CCC2CCCCC2C1;-5.78
E-1,2-dichloroethene;undecane;C(=CCl)Cl;CCCCCCCCCCC;-3.6
2-butanone;pyridine;CCC(=O)C;C1=CC=NC=C1;-4.61
diflunisal;water;C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O;O;-9.4
pentylamine;hexadecane;CCCCCN;CCCCCCCCCCCCCCCC;-4.28
1-propanol;decane;CCCO;CCCCCCCCCC;-2.76
1,4-dioxane;anisole;C1COCCO1;COC1=CC=CC=C1;-5.06
cyclohexane;hexadecyliodide;C1CCCCC1;CCCCCCCCCCCCCCCCI;-3.66
propylacetate;nonane;CCCOC(=O)C;CCCCCCCCC;-4.07
2-butanone;acetophenone;CCC(=O)C;CC(=O)C1=CC=CC=C1;-4.39
butylacetate;isopropylbenzene;CCCCCC(=O)[O-];CC(C)C1=CC=CC=C1;-5.36
formaldehyde;benzylalcohol;C=O;C1=CC=C(C=C1)CO;-3.48
pentylacetate;xylene;CCCCCOC(=O)C;CC1=CC=C(C=C1)C;-6.19
aniline;hexane;C1=CC=C(C=C1)N;CCCCCC;-5.43
dichloromethane;octanol;C(Cl)Cl;CCCCCCCCO;-3.07
methylbenzoate;toluene;COC(=O)C1=CC=CC=C1;CC1=CC=CC=C1;-7.96
toluene;anisole;CC1=CC=CC=C1;COC1=CC=CC=C1;-4.95
bromobenzene;diethylether;C1=CC=C(C=C1)Br;CCOCC;-5.99
N-methylaniline;water;CNC1=CC=CC=C1;O;-4.68
2-butanone;anisole;CCC(=O)C;COC1=CC=CC=C1;-4.43
2-methylpyridine;hexadecane;CC1=CC=CC=N1;CCCCCCCCCCCCCCCC;-4.68
formamide;hexadecane;C(=O)N;CCCCCCCCCCCCCCCC;-2.91
N,N-dimethylaniline;water;CN(C)C1=CC=CC=C1;O;-3.58
pentylacetate;decane;CCCCCOC(=O)C;CCCCCCCCCC;-5.31
propylacetate;isopropylbenzene;CCCOC(=O)C;CC(C)C1=CC=CC=C1;-4.78
trimethylphosphate;benzene;COP(=O)(OC)OC;C1=CC=CC=C1;-8.02
bromoform;octanol;C(Br)(Br)Br;CCCCCCCCO;-5.62
1-nitropropane;carbontet;CCC[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-4.49
O,O-diethylS-ethylthiomethylphosphorodithioate(phorate);water;CCOP(=S)(OCC)SCSCC;O;-4.4
toluene;cyclohexanone;CC1=CC=CC=C1;C1CCC(=O)CC1;-5.05
ethyl2-(4-chloro-6-methoxypyrimidin-2-ylcarbamoylsulfamoyl)benzoate(chlorimuronethyl);water;CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)Cl)OC;O;-14.0
toluene;nitroethane;CC1=CC=CC=C1;CC[N+](=O)[O-];-4.88
o-cresol;iodobenzene;CC1=CC=CC=C1O;C1=CC=C(C=C1)I;-7.14
E-1,2-dichloroethene;water;C(=CCl)Cl;O;-0.76
2-butanone;phenylether;CCC(=O)C;C1=CC=C(C=C1)OC2=CC=CC=C2;-4.08
1,4-dioxane;nitroethane;C1COCCO1;CC[N+](=O)[O-];-5.28
o-cresol;heptanol;CC1=CC=CC=C1O;CCCCCCCO;-8.78
nitromethane;perfluorobenzene;C[N+](=O)[O-];C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.3
2-butanone;methoxyethanol;CCC(=O)C;COCCO;-4.28
propanoicacid;nitrobenzene;CCC(=O)O;C1=CC=C(C=C1)[N+](=O)[O-];-5.38
1-propanethiol;octanol;CCCS;CCCCCCCCO;-3.52
propylacetate;fluoroctane;CCCOC(=O)C;CCCCCCC(C)F;-4.65
p-xylene;hexadecane;CC1=CC=C(C=C1)C;CCCCCCCCCCCCCCCC;-5.24
pyridine;pyridine;C1=CC=NC=C1;C1=CC=NC=C1;-5.47
benzylalcohol;benzylalcohol;C1=CC=C(C=C1)CO;C1=CC=C(C=C1)CO;-8.61
2-hexanone;butylbenzene;CCCCC(=O)C;CCCCC1=CC=CC=C1;-5.31
2,6-dimethylpyridine;water;CC1=NC(=CC=C1)C;O;-4.6
methylpropanoate;ethylbenzene;CCC(=O)OC;CCC1=CC=CC=C1;-4.29
3-t-butyl-5-chloro-6-methyluracil(terbacil);water;CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl;O;-11.1
hydrogen;water;[HH];O;2.33
2-nitropropane;hexadecane;CC(C)[N+](=O)[O-];CCCCCCCCCCCCCCCC;-3.47
N,N-dimethylacetamide;octanol;CC(=O)N(C)C;CCCCCCCCO;-7.48
pentylacetate;tbutylbenzene;CCCCCOC(=O)C;CC(C)(C)C1=CC=CC=C1;-5.92
1-propanol;iodobenzene;CCCO;C1=CC=C(C=C1)I;-3.52
methylhexanoate;toluene;CCCCCC(=O)OC;CC1=CC=CC=C1;-6.38
1-butyne;water;CCC#C;O;-0.16
hexanoicacid;isobutanol;CCCCCC(=O)O;CC(C)CO;-8.77
6-chloro-N,N'-diethyl-1,3,5-triazine-2,4-diamine(simazine);water;CCNC1=NC(=NC(=N1)Cl)NCC;O;-10.2
n-octane;dimethylpyridine;CCCCCCCC;CC1=C(N=CC=C1)C;-4.88
diiodomethane;water;C(I)I;O;-2.49
1-hexanol;toluene;CCCCCCO;CC1=CC=CC=C1;-6.12
ethylamine;benzene;CCN;C1=CC=CC=C1;-2.73
butylparaben;octanol;CCCCOC(=O)C1=CC=C(C=C1)O;CCCCCCCCO;-13.59
3,3-dimethylbutanone;hexane;CC(=O)C(C)(C)C;CCCCCC;-4.34
pentanoicacid;chloroform;CCCCC(=O)O;C(Cl)(Cl)Cl;-6.61
diethylamine;butanol;CCNCC;CCCCO;-5.15
diethylsulfide;octanol;CCSCC;CCCCCCCCO;-4.09
methylpropanoate;octane;CCC(=O)OC;CCCCCCCC;-3.57
2-heptanone;octane;CCCCCC(=O)C;CCCCCCCC;-5.25
trimethylamine;carbontet;CN(C)C;C(Cl)(Cl)(Cl)Cl;-3.09
n-octane;anisole;CCCCCCCC;COC1=CC=CC=C1;-4.62
2-heptanone;carbontet;CCCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-6.12
pentanoicacid;nitrobenzene;CCCCC(=O)O;C1=CC=C(C=C1)[N+](=O)[O-];-6.47
water;hexadecane;O;CCCCCCCCCCCCCCCC;-0.35
g-butyrolactone;nitromethane;C1CC(=O)OC1;C[N+](=O)[O-];-5.45
water;ethylbenzene;O;CCC1=CC=CC=C1;-1.51
1-pentene;isooctane;CCCC=C;CC(C)CC(C)(C)C;-2.36
pyrrolidine;water;C1CCNC1;O;-5.48
toluene;benzylalcohol;CC1=CC=CC=C1;C1=CC=C(C=C1)CO;-4.46
acetone;perfluorobenzene;CC(=O)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-3.82
4-methylpyridine;octanol;CC1=CC=NC=C1;CCCCCCCCO;-6.6
tripropylphosphate;carbontet;CCCOP(=O)(OCCC)OCCC;C(Cl)(Cl)(Cl)Cl;-8.6
bromobenzene;heptane;C1=CC=C(C=C1)Br;CCCCCCC;-5.72
1-heptanol;dodecane;CCCCCCCO;CCCCCCCCCCCC;-5.41
propylamine;chlorobenzene;CCCN;C1=CC=C(C=C1)Cl;-3.59
butanoicacid;butanol;CCCC(=O)O;CCCCO;-7.66
urea;octanol;C(=O)(N)N;CCCCCCCCO;-10.93
butanal;isooctane;CCCC=O;CC(C)CC(C)(C)C;-3.45
hydrogenperoxide;diethylether;OO;CCOCC;-7.03
propylamine;toluene;CCCN;CC1=CC=CC=C1;-3.51
1,2-dichlorobenzene;odichlorobenzene;C1=CC=C(C(=C1)Cl)Cl;C1=CC=C(C(=C1)Cl)Cl;-6.89
1,4-dioxane;butanone;C1COCCO1;CCC(=O)C;-5.02
hexachlorobenzene;water;C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl;O;-2.33
p-hydroxybenzaldehyde;dichloroethane;C1=CC(=CC=C1C=O)O;CC(Cl)Cl;-10.7
ammonia;4methyl2pentanone;N;CC(C)CC(=O)C;-2.52
propylamine;heptanol;CCCN;CCCCCCCO;-4.8
dimethyl2,4,5-trichlorophenylthiophosphate;octanol;CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C;CCCCCCCCO;-11.69
p-cresol;chloroform;CC1=CC=C(C=C1)O;C(Cl)(Cl)Cl;-7.59
o-xylene;hexane;CC1=CC=CC=C1C;CCCCCC;-5.22
methyl2-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)benzoate(metsulfuronmethyl);water;CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC;O;-15.5
3,3-dimethylbutanone;perfluorobenzene;CC(=O)C(C)(C)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.26
chloroform;pentane;C(Cl)(Cl)Cl;CCCCC;-3.26
methylacetate;toluene;CC(=O)OC;CC1=CC=CC=C1;-3.81
bromotoluene;hexadecane;CC1=CC=CC=C1Br;CCCCCCCCCCCCCCCC;-6.36
methanol;cyclohexane;CO;C1CCCCC1;-1.29
butanoicacid;isobutanol;CCCC(=O)O;CC(C)CO;-7.62
2-butanone;trimethylbenzene;CCC(=O)C;CC1=C(C(=CC=C1)C)C;-3.97
nitrobenzene;hexadecane;C1=CC=C(C=C1)[N+](=O)[O-];CCCCCCCCCCCCCCCC;-6.22
hydrogensulfide;water;[SH-];O;-0.7
ethylamine;octanol;CCN;CCCCCCCCO;-4.09
diethyl4-nitrophenylthiophosphonate;water;CC(C)(C=NOC(=O)NC)SC;O;-6.27
1-bromopropane;octanol;CCCBr;CCCCCCCCO;-3.42
aceticacid;xylene;CC(=O)O;CC1=CC=C(C=C1)C;-4.08
9-methyladenine;water;CN1C=NC2=C1N=CN=C2N;O;-13.6
2,2-dichloroethenyldimethylphosphate;octanol;COP(=O)(OC)OC=C(Cl)Cl;CCCCCCCCO;-8.59
aniline;xylene;C1=CC=C(C=C1)N;CC1=CC=C(C=C1)C;-6.1
phenol;octane;C1=CC=C(C=C1)O;CCCCCCCC;-5.47
trimethylphosphate;dichloroethane;COP(=O)(OC)OC;CC(Cl)Cl;-8.55
naphthalene;4methyl2pentanone;C1=CC=C2C=CC=CC2=C1;CC(C)CC(=O)C;-7.45
phenol;hexadecane;C1=CC=C(C=C1)O;CCCCCCCCCCCCCCCC;-5.14
piperazine;isobutanol;C1CNCCN1;CC(C)CO;-6.58
1-pentanol;iodobenzene;CCCCCO;C1=CC=C(C=C1)I;-5.02
nitromethane;acetophenone;C[N+](=O)[O-];CC(=O)C1=CC=CC=C1;-4.92
chloroethane;octanol;CCCl;CCCCCCCCO;-2.58
2-methylpyridine;dibutylether;CC1=CC=CC=N1;CCCCOCCCC;-5.2
2-butanone;tetrahydrofuran;CCC(=O)C;C1CCOC1;-4.54
butanoicacid;4methyl2pentanone;CCCC(=O)O;CC(C)CC(=O)C;-7.44
2-butanone;2methylpyridine;CCC(=O)C;CC1=CC=CC=N1;-4.52
N-methylformamide;octanol;CNC=O;CCCCCCCCO;-6.97
2-octanone;heptane;CCCCCCC(=O)C;CCCCCCC;-5.68
4-methylaniline;heptane;CC1=CC=C(C=C1)N;CCCCCCC;-6.15
pentylacetate;dichloroethane;CCCCCOC(=O)C;CC(Cl)Cl;-6.64
propanoicacid;secbutanol;CCC(=O)O;CCC(C)O;-7.0
pyridine;dibutylether;C1=CC=NC=C1;CCCCOCCCC;-4.65
aceticacid;heptanol;CC(=O)O;CCCCCCCO;-6.7
sulfolane;octanol;C1CCS(=O)(=O)C1;CCCCCCCCO;-7.56
trimethylphosphate;water;COP(=O)(OC)OC;O;-8.7
nitromethane;tetrahydrofuran;C[N+](=O)[O-];C1CCOC1;-5.09
1-pentanol;chloroform;CCCCCO;C(Cl)(Cl)Cl;-5.9
octanal;water;CCCCCCCC=O;O;-2.29
hexachloroethane;water;C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl;O;-1.4
2-butanone;dibutylether;CCC(=O)C;CCCCOCCCC;-3.78
o-cresol;isooctane;CC1=CC=CC=C1O;CC(C)CC(C)(C)C;-5.68
iodobenzene;hexadecane;C1=CC=C(C=C1)I;CCCCCCCCCCCCCCCC;-6.25
butanoicacid;butanone;CCCC(=O)O;CCC(=O)C;-7.34
phenylformate;water;C1=CC=C(C=C1)C(=O)[O-];O;-3.82
nitromethane;iodobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)I;-4.1
o-cresol;nitrobenzene;CC1=CC=CC=C1O;C1=CC=C(C=C1)[N+](=O)[O-];-8.16
N,N-dimethylacetamide;dimethylacetamide;CC(=O)N(C)C;CC(=O)N(C)C;-6.77
1-heptanol;tributylphosphate;CCCCCCCO;CCCCOP(=O)(OCCCC)OCCCC;-7.98
2-butanone;benzene;CCC(=O)C;C1=CC=CC=C1;-4.46
tetrachloroethene;water;C(=C(Cl)Cl)(Cl)Cl;O;0.05
ethylacetate;secbutylbenzene;CCOC(=O)C;CCC(C)C1=CC=CC=C1;-4.11
2-methylpyridine;2methylpyridine;CC1=CC=CC=N1;CC1=CC=CC=N1;-5.71
toluene;diethylether;CC1=CC=CC=C1;CCOCC;-5.23
1,1,2-trichloroethane;hexadecane;C(C(Cl)Cl)Cl;CCCCCCCCCCCCCCCC;-4.49
propylacetate;dichloroethane;CCCOC(=O)C;CC(Cl)Cl;-5.4
aceticacid;isobutanol;CC(=O)O;CC(C)CO;-6.8
2-butanone;dimethylpyridine;CCC(=O)C;CC1=C(N=CC=C1)C;-4.34
2-butanone;butanol;CCC(=O)C;CCCCO;-4.12
2-butylnitrate;water;CCC(C)O[N+](=O)[O-];O;-1.8
1,4-dioxane;propanol;C1COCCO1;CCCO;-4.61
diethylamine;carbontet;CCNCC;C(Cl)(Cl)(Cl)Cl;-4.12
acetonitrile;heptane;CC#N;CCCCCCC;-2.06
4-methylpyridine;hexadecane;CC1=CC=NC=C1;CCCCCCCCCCCCCCCC;-4.89
2-hexanone;heptane;CCCCC(=O)C;CCCCCCC;-4.55
methylpentanoate;tbutylbenzene;CCCCC(=O)OC;CC(C)(C)C1=CC=CC=C1;-5.39
methylbenzoate;decalin;COC(=O)C1=CC=CC=C1;C1CCC2CCCCC2C1;-6.76
3-ethyl-2-methoxypyrazine;octanol;CCC1=NC=CN=C1OC;CCCCCCCCO;-6.85
pyridine;octanol;C1=CC=NC=C1;CCCCCCCCO;-5.34
3-bromopropene;water;C=CCBr;O;-0.86
1-nitropropane;toluene;CCC[N+](=O)[O-];CC1=CC=CC=C1;-5.25
hydrogenperoxide;benzene;OO;C1=CC=CC=C1;-4.77
ethylbenzene;cyclohexane;CCC1=CC=CC=C1;C1CCCCC1;-4.97
hydrogen;octanol;[HH];CCCCCCCCO;1.76
butylamine;bromobenzene;CCCCN;C1=CC=C(C=C1)Br;-4.22
phenol;carbondisulfide;C1=CC=C(C=C1)O;C(=S)=S;-6.27
pentylacetate;benzene;CCCCCOC(=O)C;C1=CC=CC=C1;-6.53
hexanoicacid;diethylether;CCCCCC(=O)O;CCOCC;-8.85
methylpropanoate;decane;CCC(=O)OC;CCCCCCCCCC;-3.49
methane;octanol;C;CCCCCCCCO;0.51
hexanoicacid;benzene;CCCCCC(=O)O;C1=CC=CC=C1;-6.94
o-cresol;dichloroethane;CC1=CC=CC=C1O;CC(Cl)Cl;-7.73
2-pentanone;cyclohexane;CCCC(=O)C;C1CCCCC1;-4.19
2-methyl-1-nitrobenzene;octanol;CC1=CC=CC=C1[N+](=O)[O-];CCCCCCCCO;-6.8
nitrobenzene;decalin;C1=CC=C(C=C1)[N+](=O)[O-];C1CCC2CCCCC2C1;-6.36
chlorobenzene;undecane;C1=CC=C(C=C1)Cl;CCCCCCCCCCC;-5.12
nitromethane;cyclohexane;C[N+](=O)[O-];C1CCCCC1;-2.86
dimethoxymethane;water;COCOC;O;-2.93
1,2-dichlorobenzene;hexadecane;C1=CC=C(C(=C1)Cl)Cl;CCCCCCCCCCCCCCCC;-6.16
methyl3-methyl-4-thiomethoxyphenylthiophosphate;octanol;CO[PH](O)([S])Oc1ccc(SC)c(C)c1;CCCCCCCCO;-12.55
1-bromo-1,2,2,2-tetrafluoroethane;hexadecane;C(C(F)(F)F)(F)Br;CCCCCCCCCCCCCCCC;-1.87
1-hexanol;chlorobenzene;CCCCCCO;C1=CC=C(C=C1)Cl;-5.98
pentanoicacid;butanone;CCCCC(=O)O;CCC(=O)C;-7.54
methanol;odichlorobenzene;CO;C1=CC=C(C(=C1)Cl)Cl;-1.73
N,N-dimethylformamide;diethylether;CN(C)C=O;CCOCC;-5.31
toluene;fluorobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)F;-5.27
1-butanol;hexane;CCCCO;CCCCCC;-3.77
n-hexane;isooctane;CCCCCC;CC(C)CC(C)(C)C;-3.08
iodobenzene;chloroform;C1=CC=C(C=C1)I;C(Cl)(Cl)Cl;-6.6
phenol;butylacetate;C1=CC=C(C=C1)O;CCCCCC(=O)[O-];-8.96
cyclopropane;water;C1CC1;O;0.75
2-hexanone;ethylbenzene;CCCCC(=O)C;CCC1=CC=CC=C1;-5.49
diclofenacacid;water;C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl;O;-6.3
butanonitrile;water;CCCN(CCC)C(=O)SCCC;O;-3.64
1,1-dimethyl-3-phenylurea;chloroform;CN(C)C(=O)NC1=CC=CC=C1;C(Cl)(Cl)Cl;-13.64
o-cresol;toluene;CC1=CC=CC=C1O;CC1=CC=CC=C1;-7.43
aniline;octanol;C1=CC=C(C=C1)N;CCCCCCCCO;-6.71
propanal;water;CCC=O;O;-3.44
ethanol;pyridine;CCO;C1=CC=NC=C1;-5.08
methylacetate;dichloroethane;CC(=O)OC;CC(Cl)Cl;-4.55
benzamide;carbontet;C1=CC=C(C=C1)C(=O)N;C(Cl)(Cl)(Cl)Cl;-9.13
m-cresol;heptane;CC1=CC(=CC=C1)O;CCCCCCC;-5.01
4-ethylpyridine;hexadecane;CCC1=CC=NC=C1;CCCCCCCCCCCCCCCC;-2.45
methylhexanoate;xylene;CCCCCC(=O)OC;CC1=CC=C(C=C1)C;-6.26
1-butanol;butanol;CCCCO;CCCCO;-6.03
pyridine;chloroform;C1=CC=NC=C1;C(Cl)(Cl)Cl;-6.45
iodobenzene;carbontet;C1=CC=C(C=C1)I;C(Cl)(Cl)(Cl)Cl;-6.5
2-bromopropane;water;CC(C)Br;O;-0.48
p-bromotoluene;water;CC1=CC=C(C=C1)Br;O;-1.39
phenol;nonanol;C1=CC=C(C=C1)O;CCCCCCCCCO;-8.61
4-methylaniline;chloroform;CC1=CC=C(C=C1)N;C(Cl)(Cl)Cl;-8.01
ethylamine;carbontet;CCN;C(Cl)(Cl)(Cl)Cl;-2.77
butylacetate;decane;CCCCCC(=O)[O-];CCCCCCCCCC;-4.66
1-hexene;octanol;CCCCC=C;CCCCCCCCO;-2.94
2-heptanone;mesitylene;CCCCCC(=O)C;CC1=CC(=CC(=C1)C)C;-5.99
propanoicacid;octanol;CCC(=O)O;CCCCCCCCO;-6.86
pentylacetate;trimethylbenzene;CCCCCOC(=O)C;CC1=C(C(=CC=C1)C)C;-6.09
1-bromo-isobutane;hexadecane;COP(=O)(C(C(Cl)(Cl)Cl)O)OC;CCCCCCCCCCCCCCCC;-4.04
butylamine;decanol;CCCCN;CCCCCCCCCCO;-5.22
4-heptanone;water;CCCC(=O)CCC;O;-2.93
butylbenzene;butylbenzene;CCCCC1=CC=CC=C1;CCCCC1=CC=CC=C1;-6.86
cyclopentanol;water;C1CCC(C1)O;O;-5.49
1-butanol;octane;CCCCO;CCCCCCCC;-3.69
flurbiprofen(racemic);water;CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O;O;-8.42
benzaldehyde;hexadecane;C1=CC=C(C=C1)C=O;CCCCCCCCCCCCCCCC;-5.44
Z-1,2-dichloroethene;hexadecane;C(=CCl)Cl;CCCCCCCCCCCCCCCC;-3.33
p-bromophenol;iodobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)I;-8.45
methanol;dichloroethane;CO;CC(Cl)Cl;-2.53
propanoicacid;benzene;CCC(=O)O;C1=CC=CC=C1;-4.75
o-cresol;chloroform;CC1=CC=CC=C1O;C(Cl)(Cl)Cl;-7.55
o-cresol;benzene;CC1=CC=CC=C1O;C1=CC=CC=C1;-7.44
phenol;isooctane;C1=CC=C(C=C1)O;CC(C)CC(C)(C)C;-5.3
thioanisole;chloroform;CSC1=CC=CC=C1;C(Cl)(Cl)Cl;-5.98
methylbutanoate;water;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-];O;-2.83
3,3-dimethylbutanone;xylene;CC(=O)C(C)(C)C;CC1=CC=C(C=C1)C;-4.91
1-butanol;toluene;CCCCO;CC1=CC=CC=C1;-4.31
uracil;butanol;C1=CNC(=O)NC1=O;CCCCO;-16.05
1,1,1-trichloroethane;undecane;CC(Cl)(Cl)Cl;CCCCCCCCCCC;-3.82
1-iodopropane;hexadecane;CCCI;CCCCCCCCCCCCCCCC;-4.27
ethylacetate;benzene;CCOC(=O)C;C1=CC=CC=C1;-4.53
caffeine;water;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;O;-12.64
chlorobenzene;water;C1=CC=C(C=C1)Cl;O;-1.12
2-methylpropane;octanol;CC(C)C;CCCCCCCCO;-1.45
propylamine;diethylether;CCCN;CCOCC;-3.65
hexafluoroethane;water;C(C(F)(F)F)(F)(F)F;O;3.94
p-cresol;hexane;CC1=CC=C(C=C1)O;CCCCCC;-5.86
chlorobenzene;cyclohexane;C1=CC=C(C=C1)Cl;C1CCCCC1;-5.1
acetaldehyde;hexadecane;CC=O;CCCCCCCCCCCCCCCC;-1.68
1-hexanol;isooctane;CCCCCCO;CC(C)CC(C)(C)C;-5.1
methylpropanoate;cyclohexane;CCC(=O)OC;C1CCCCC1;-3.71
2-methylaniline;carbontet;CC1=CC=CC=C1N;C(Cl)(Cl)(Cl)Cl;-7.16
benzaldehyde;heptane;C1=CC=C(C=C1)C=O;CCCCCCC;-5.5
1,1-dimethylhydrazine;water;CN(C)N;O;-4.48
1,4-dioxane;bromobenzene;C1COCCO1;C1=CC=C(C=C1)Br;-5.02
methylpropanoate;pentane;CCC(=O)OC;CCCCC;-3.69
m-cresol;water;CC1=CC(=CC=C1)O;O;-5.49
isopropanol;water;CC(C)O;O;-4.76
methylhexanoate;decane;CCCCCC(=O)OC;CCCCCCCCCC;-5.48
methylamine;4methyl2pentanone;CN;CC(C)CC(=O)C;-4.14
pyrrole;cyclohexane;C1=CNC=C1;C1CCCCC1;-3.77
thiophene;chloroform;CCOC1=CC=CC=C1;C(Cl)(Cl)Cl;-5.83
p-cresol;benzene;CC1=CC=C(C=C1)O;C1=CC=CC=C1;-7.35
benzaldehyde;chloroform;C1=CC=C(C=C1)C=O;C(Cl)(Cl)Cl;-7.09
4-methyl-2-pentanone;4methyl2pentanone;CC(C)CC(=O)C;CC(C)CC(=O)C;-5.23
dibromomethane;hexadecane;C(Br)Br;CCCCCCCCCCCCCCCC;-3.94
1-propanol;dichloroethane;CCCO;CC(Cl)Cl;-3.85
chloroform;hexadecyliodide;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCCI;-3.36
methylacetate;trimethylbenzene;CC(=O)OC;CC1=C(C(=CC=C1)C)C;-3.58
2-hexanone;octane;CCCCC(=O)C;CCCCCCCC;-4.6
n-octane;cyclohexane;CCCCCCCC;C1CCCCC1;-5.63
dichloroethane;dichloroethane;CC(Cl)Cl;CC(Cl)Cl;-4.69
1,4-dioxane;2methylpyridine;C1COCCO1;CC1=CC=CC=N1;-5.01
2-butanone;tetrahydrothiophenedioxide;CCC(=O)C;C1CCS(=O)(=O)C1;-4.09
1-butanol;ethylbenzene;CCCCO;CCC1=CC=CC=C1;-3.77
tripropylphosphate;hexane;CCCOP(=O)(OCCC)OCCC;CCCCCC;-7.24
1-heptanol;decane;CCCCCCCO;CCCCCCCCCC;-5.62
benzene;benzene;C1=CC=CC=C1;C1=CC=CC=C1;-4.55
phenol;octanol;C1=CC=C(C=C1)O;CCCCCCCCO;-8.69
bromobenzene;cyclohexane;C1=CC=C(C=C1)Br;C1CCCCC1;-5.29
nitromethane;pyridine;C[N+](=O)[O-];C1=CC=NC=C1;-5.11
2-butanone;bromobenzene;CCC(=O)C;C1=CC=C(C=C1)Br;-4.37
2-(ethylamino)-4-isopropylamino-6-methyl-thio-s-triazine(ametryn);water;CCNC1=NC(=NC(=N1)SC)NC(C)C;O;-7.7
pentylamine;xylene;CCCCCN;CC1=CC=C(C=C1)C;-4.7
5-fluorouracil;ethylacetate;C1=C(C(=O)NC(=O)N1)F;CCOC(=O)C;-16.1
dimethylamine;isobutanol;CNC;CC(C)CO;-4.43
butylnitrate;water;CCCCO[N+](=O)[O-];O;-2.1
azetidine;water;C1CNC1;O;-5.56
water;tetralin;O;C1CCC2=CC=CC=C2C1;0.07
S-4-chlorophenylthiomethylO,O-diethylphosphorodithioate(carbophenothion);water;CCOP(=S)(OCC)SCSC1=CC=C(C=C1)Cl;O;-6.5
2,2'-dichlorobiphenyl;heptane;C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl;CCCCCCC;-9.22
o-xylene;chloroform;CC1=CC=CC=C1C;C(Cl)(Cl)Cl;-6.23
1,4-dichlorobenzene;octanol;C1=CC(=CC=C1Cl)Cl;CCCCCCCCO;-5.67
ethanol;benzonitrile;CCO;C1=CC=C(C=C1)C#N;-4.05
thiophenol;hexadecane;C1=CC=C(C=C1)S;CCCCCCCCCCCCCCCC;-5.61
diethylamine;chloroform;CCNCC;C(Cl)(Cl)Cl;-5.23
cyanuricacid;octanol;C1(=O)NC(=O)NC(=O)N1;CCCCCCCCO;-18.89
bromoethane;hexadecane;CCBr;CCCCCCCCCCCCCCCC;-2.89
4-methylaniline;ethylacetate;CC1=CC=C(C=C1)N;CCOC(=O)C;-7.63
nitrobenzene;diethylether;C1=CC=C(C=C1)[N+](=O)[O-];CCOCC;-6.85
pentanoicacid;isobutanol;CCCCC(=O)O;CC(C)CO;-8.06
diethoxy-[(2-isopropyl-6-methyl-4-pyrimidinyl)oxy]-thioxophosphorane(diazinon);water;CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C;O;-6.5
ethylamine;hexane;CCN;CCCCCC;-2.09
hexanoicacid;octanol;CCCCCC(=O)O;CCCCCCCCO;-8.82
2-hexanone;mesitylene;CCCCC(=O)C;CC1=CC(=CC(=C1)C)C;-5.34
1-nitrobutane;hexadecane;CCCC[N+](=O)[O-];CCCCCCCCCCCCCCCC;-4.66
nitromethane;toluene;C[N+](=O)[O-];CC1=CC=CC=C1;-4.31
propanoicacid;hexane;CCC(=O)O;CCCCCC;-2.98
aniline;chlorobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)Cl;-6.72
methylpropanoate;tetrachloroethene;CCC(=O)OC;C(=C(Cl)Cl)(Cl)Cl;-4.39
1,2-ethanediol;chloroform;C(CO)O;C(Cl)(Cl)Cl;-5.98
nitromethane;ethanol;C[N+](=O)[O-];CCO;-4.34
