,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
463,thioanisole,chloroform,CSC1=CC=CC=C1,C(Cl)(Cl)Cl,-5.98
465,morpholine,chloroform,C1COCCN1,C(Cl)(Cl)Cl,-6.72
466,p-hydroxybenzaldehyde,chloroform,C1=CC(=CC=C1C=O)O,C(Cl)(Cl)Cl,-10.3
467,fluorobenzene,chloroform,C1=CC=C(C=C1)F,C(Cl)(Cl)Cl,-4.25
468,chloroform,chloroform,C(Cl)(Cl)Cl,C(Cl)(Cl)Cl,-4.13
469,chlorobenzene,chloroform,C1=CC=C(C=C1)Cl,C(Cl)(Cl)Cl,-5.45
470,"1,4-dichlorobenzene",chloroform,C1=CC(=CC=C1Cl)Cl,C(Cl)(Cl)Cl,-6.32
471,bromobenzene,chloroform,C1=CC=C(C=C1)Br,C(Cl)(Cl)Cl,-6.07
472,"2,2,2-trifluoroethanol",chloroform,C(C(F)(F)F)O,C(Cl)(Cl)Cl,-3.03
473,p-bromophenol,chloroform,C1=CC(=CC=C1O)Br,C(Cl)(Cl)Cl,-8.59
474,ammonia,chloroform,N,C(Cl)(Cl)Cl,-2.41
475,water,chloroform,O,C(Cl)(Cl)Cl,-2.05
477,trimethylphosphate,chloroform,COP(=O)(OC)OC,C(Cl)(Cl)Cl,-9.74
478,triethylphosphate,chloroform,CCOP(=O)(OCC)OCC,C(Cl)(Cl)Cl,-10.9
479,tripropylphosphate,chloroform,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)C,C(Cl)(Cl)Cl,-11.11
480,piperidine,chloroform,C1CCNCC1,C(Cl)(Cl)Cl,-6.37
481,methylamine,chloroform,CN,C(Cl)(Cl)Cl,-3.17
482,hydrazine,chloroform,NN,C(Cl)(Cl)Cl,-4.42
483,2-ethylpyrazine,chloroform,CCC1=NC=CN=C1,C(Cl)(Cl)Cl,-7.72
484,acetamide,chloroform,CC(=O)N,C(Cl)(Cl)Cl,-7.05
485,methylbenzoate,chloroform,COC(=O)C1=CC=CC=C1,C(Cl)(Cl)Cl,-7.81
486,isopropylether,chloroform,CC(C)OC(C)C,C(Cl)(Cl)Cl,-3.78
487,tetrahydropyran,chloroform,C1CCOCC1,C(Cl)(Cl)Cl,-5.84
488,thiophene,chloroform,C1=CSC=C1,C(Cl)(Cl)Cl,-5.83
490,"1,1-dimethyl-3-phenylurea",chloroform,CN(C)C(=O)NC1=CC=CC=C1,C(Cl)(Cl)Cl,-13.64
491,9-methyladenine,chloroform,CN1C=NC2=C(N=CN=C21)N,C(Cl)(Cl)Cl,-12.51
492,1-methylthymine,chloroform,CC1=CN(C(=O)NC1=O)C,C(Cl)(Cl)Cl,-9.71
493,difluorodichloromethane,chloroform,C(F)(F)(Cl)Cl,C(Cl)(Cl)Cl,-1.55
494,fluorotrichloromethane,chloroform,C(F)(Cl)(Cl)Cl,C(Cl)(Cl)Cl,-2.62
496,nitromethane,chloroform,C[N+](=O)[O-],C(Cl)(Cl)Cl,-4.68
497,"N,N-dimethylacetamide",chloroform,CC(=O)N(C)C,C(Cl)(Cl)Cl,-8.38
498,pyrrole,chloroform,C1=CNC=C1,C(Cl)(Cl)Cl,-5.5
499,quinoline,chloroform,C1=CC=C2C(=C1)C=CC=N2,C(Cl)(Cl)Cl,-10.23
500,urea,chloroform,C(=O)(N)N,C(Cl)(Cl)Cl,-8.56
501,benzamide,chloroform,C1=CC=C(C=C1)C(=O)N,C(Cl)(Cl)Cl,-11.06
502,2-methylaniline,chloroform,CC1=CC=CC=C1N,C(Cl)(Cl)Cl,-8.23
503,4-methylaniline,chloroform,CC1=CC=C(C=C1)N,C(Cl)(Cl)Cl,-8.01
504,hydrogenperoxide,chloroform,OO,C(Cl)(Cl)Cl,-4.7
505,N-methyl-2-pyrrolidinone,chloroform,CN1CCCC1=O,C(Cl)(Cl)Cl,-9.82
506,uracil,chloroform,C1=CNC(=O)NC1=O,C(Cl)(Cl)Cl,-14.28
507,5-fluorouracil,chloroform,C1=C(C(=O)NC(=O)N1)F,C(Cl)(Cl)Cl,-14.31
508,5-bromouracil,chloroform,C1=C(C(=O)NC(=O)N1)Br,C(Cl)(Cl)Cl,-15.03
509,iodobenzene,chloroform,C1=CC=C(C=C1)I,C(Cl)(Cl)Cl,-6.6
510,acetone,chlorohexane,CC(=O)C,CCCCCCCl,-3.45
511,2-butanone,chlorohexane,CCC(=O)C,CCCCCCCl,-4.1
512,2-pentanone,chlorohexane,CCCC(=O)C,CCCCCCCl,-4.84
513,2-hexanone,chlorohexane,CCCCC(=O)C,CCCCCCCl,-5.42
514,"3,3-dimethylbutanone",chlorohexane,CC(=O)C(C)(C)C,CCCCCCCl,-4.98
517,ethylacetate,chlorohexane,CCOC(=O)C,CCCCCCCl,-4.25
518,propylacetate,chlorohexane,CCCCC(=O)O,CCCCCCCl,-4.84
520,butylacetate,chlorohexane,CCCCCC(=O)[O-],CCCCCCCl,-5.37
521,n-propane,cyclohexane,CCC,C1CCCCC1,-2.09
522,n-butane,cyclohexane,CCCC,C1CCCCC1,-2.86
523,n-pentane,cyclohexane,CCCCC,C1CCCCC1,-3.5
524,n-octane,cyclohexane,CCCCCCCC,C1CCCCC1,-5.63
525,cyclohexane,cyclohexane,C1CCCCC1,C1CCCCC1,-4.43
526,benzene,cyclohexane,C1=CC=CC=C1,C1CCCCC1,-4.19
527,toluene,cyclohexane,CC1=CC=CC=C1,C1CCCCC1,-4.9
528,ethylbenzene,cyclohexane,CCC1=CC=CC=C1,C1CCCCC1,-4.97
529,o-xylene,cyclohexane,CC1=CC=CC=C1C,C1CCCCC1,-5.54
530,m-xylene,cyclohexane,CC1=CC(=CC=C1)C,C1CCCCC1,-5.52
531,naphthalene,cyclohexane,C1=CC=C2C=CC=CC2=C1,C1CCCCC1,-7.17
532,methanol,cyclohexane,CO,C1CCCCC1,-1.29
533,ethanol,cyclohexane,CCO,C1CCCCC1,-2.42
534,1-propanol,cyclohexane,CCCO,C1CCCCC1,-2.73
535,isopropanol,cyclohexane,CC(C)O,C1CCCCC1,-2.37
536,1-butanol,cyclohexane,CCCCO,C1CCCCC1,-3.52
537,t-butanol,cyclohexane,CC(C)(C)O,C1CCCCC1,-2.93
538,1-pentanol,cyclohexane,CCCCCO,C1CCCCC1,-3.61
539,phenol,cyclohexane,C1=CC=C(C=C1)O,C1CCCCC1,-5.57
540,1-hexanol,cyclohexane,CCCCCCO,C1CCCCC1,-5.31
541,o-cresol,cyclohexane,CC1=CC=CC=C1O,C1CCCCC1,-6.02
542,m-cresol,cyclohexane,CC1=CC(=CC=C1)O,C1CCCCC1,-5.2
543,p-cresol,cyclohexane,CC1=CC=C(C=C1)O,C1CCCCC1,-5.89
544,1-heptanol,cyclohexane,CCCCCCCO,C1CCCCC1,-6.02
545,"1,4-dioxane",cyclohexane,C1COCCO1,C1CCCCC1,-4.17
546,diethylether,cyclohexane,CCOCC,C1CCCCC1,-3.03
547,anisole,cyclohexane,COC1=CC=CC=C1,C1CCCCC1,-5.38
548,benzaldehyde,cyclohexane,C1=CC=C(C=C1)C=O,C1CCCCC1,-5.71
549,acetone,cyclohexane,CC(=O)C,C1CCCCC1,-2.67
550,2-butanone,cyclohexane,CCC(=O)C,C1CCCCC1,-3.48
551,2-pentanone,cyclohexane,CCCC(=O)C,C1CCCCC1,-4.19
552,3-pentanone,cyclohexane,CCC(=O)CC,C1CCCCC1,-4.3
553,2-hexanone,cyclohexane,CCCCC(=O)C,C1CCCCC1,-4.77
554,"3,3-dimethylbutanone",cyclohexane,CC(=O)C(C)(C)C,C1CCCCC1,-4.42
555,2-heptanone,cyclohexane,CCCCCC(=O)C,C1CCCCC1,-5.47
556,acetophenone,cyclohexane,CC(=O)C1=CC=CC=C1,C1CCCCC1,-6.29
558,propanoicacid,cyclohexane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1CCCCC1,-3.78
561,ethylacetate,cyclohexane,CCOC(=O)C,C1CCCCC1,-3.56
562,propylacetate,cyclohexane,CCCCC(=O)O,C1CCCCC1,-4.36
564,butylacetate,cyclohexane,CCCCCC(=O)[O-],C1CCCCC1,-4.94
567,ethylamine,cyclohexane,CCN,C1CCCCC1,-2.04
568,trimethylamine,cyclohexane,CN(C)C,C1CCCCC1,-2.63
569,diethylamine,cyclohexane,CCNCC,C1CCCCC1,-3.61
570,pyridine,cyclohexane,C1=CC=NC=C1,C1CCCCC1,-4.3
571,aniline,cyclohexane,C1=CC=C(C=C1)N,C1CCCCC1,-5.52
572,2-methylpyridine,cyclohexane,CC1=CC=CC=N1,C1CCCCC1,-5.05
573,3-methylpyridine,cyclohexane,CC1=CN=CC=C1,C1CCCCC1,-5.14
574,4-methylpyridine,cyclohexane,CC1=CC=NC=C1,C1CCCCC1,-5.23
575,N-methylaniline,cyclohexane,CNC1=CC=CC=C1,C1CCCCC1,-6.33
576,"2,6-dimethylpyridine",cyclohexane,CC1=NC(=CC=C1)C,C1CCCCC1,-5.51
577,acetonitrile,cyclohexane,CC#N,C1CCCCC1,-1.87
578,benzonitrile,cyclohexane,C1=CC=C(C=C1)C#N,C1CCCCC1,-5.54
579,1-nitropropane,cyclohexane,CCC[N+](=O)[O-],C1CCCCC1,-4.06
580,nitrobenzene,cyclohexane,C1=CC=C(C=C1)[N+](=O)[O-],C1CCCCC1,-6.62
581,2-methyl-1-nitrobenzene,cyclohexane,CC1=CC=CC=C1[N+](=O)[O-],C1CCCCC1,-6.71
582,1-propanethiol,cyclohexane,CCCS,C1CCCCC1,-3.12
583,thioanisole,cyclohexane,CSC1=CC=CC=C1,C1CCCCC1,-5.66
584,m-hydroxybenzaldehyde,cyclohexane,C1=CC(=CC(=C1)O)C=O,C1CCCCC1,-6.88
585,p-hydroxybenzaldehyde,cyclohexane,C1=CC(=CC=C1C=O)O,C1CCCCC1,-7.19
586,fluorobenzene,cyclohexane,C1=CC=C(C=C1)F,C1CCCCC1,-3.59
587,"1,1,1-trichloroethane",cyclohexane,CC(Cl)(Cl)Cl,C1CCCCC1,-4.08
588,trichloroethene,cyclohexane,C(=C(Cl)Cl)Cl,C1CCCCC1,-4.29
589,chlorobenzene,cyclohexane,C1=CC=C(C=C1)Cl,C1CCCCC1,-5.1
590,"1,4-dichlorobenzene",cyclohexane,C1=CC(=CC=C1Cl)Cl,C1CCCCC1,-5.89
591,bromobenzene,cyclohexane,C1=CC=C(C=C1)Br,C1CCCCC1,-5.29
592,"2,2,2-trifluoroethanol",cyclohexane,C(C(F)(F)F)O,C1CCCCC1,-1.53
593,p-bromophenol,cyclohexane,C1=CC(=CC=C1O)Br,C1CCCCC1,-7.14
594,water,cyclohexane,O,C1CCCCC1,-0.39
595,trimethylphosphate,cyclohexane,COP(=O)(OC)OC,C1CCCCC1,-5.67
596,triethylphosphate,cyclohexane,CCOP(=O)(OCC)OCC,C1CCCCC1,-7.6
597,tripropylphosphate,cyclohexane,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)C,C1CCCCC1,-7.71
598,methylbenzoate,cyclohexane,COC(=O)C1=CC=CC=C1,C1CCCCC1,-7.01
599,tetrahydropyran,cyclohexane,C1CCOCC1,C1CCCCC1,-4.41
601,difluorodichloromethane,cyclohexane,C(F)(F)(Cl)Cl,C1CCCCC1,-1.81
602,fluorotrichloromethane,cyclohexane,C(F)(Cl)(Cl)Cl,C1CCCCC1,-2.63
603,"3,5-dibromo-4-hydroxybenzonitrile",cyclohexane,C1=C(C=C(C(=C1Br)O)Br)C#N,C1CCCCC1,-6.83
604,nitromethane,cyclohexane,C[N+](=O)[O-],C1CCCCC1,-2.86
605,"N,N-dimethylformamide",cyclohexane,CN(C)C=O,C1CCCCC1,-3.82
606,pyrrole,cyclohexane,C1=CNC=C1,C1CCCCC1,-3.77
607,quinoline,cyclohexane,C1=CC=C2C(=C1)C=CC=N2,C1CCCCC1,-7.38
608,benzamide,cyclohexane,C1=CC=C(C=C1)C(=O)N,C1CCCCC1,-8.72
609,2-methylaniline,cyclohexane,CC1=CC=CC=C1N,C1CCCCC1,-6.44
610,3-methylaniline,cyclohexane,CC1=CC(=CC=C1)N,C1CCCCC1,-6.47
611,4-methylaniline,cyclohexane,CC1=CC=C(C=C1)N,C1CCCCC1,-6.3
612,iodobenzene,cyclohexane,C1=CC=C(C=C1)I,C1CCCCC1,-6.26
613,n-octane,cyclohexanone,CCCCCCCC,C1CCC(=O)CC1,-4.57
614,toluene,cyclohexanone,CC1=CC=CC=C1,C1CCC(=O)CC1,-5.05
615,ethanol,cyclohexanone,CCO,C1CCC(=O)CC1,-4.41
616,"1,4-dioxane",cyclohexanone,C1COCCO1,C1CCC(=O)CC1,-4.95
617,2-butanone,cyclohexanone,CCC(=O)C,C1CCC(=O)CC1,-4.42
619,propanoicacid,cyclohexanone,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1CCC(=O)CC1,-7.18
620,nitromethane,cyclohexanone,C[N+](=O)[O-],C1CCC(=O)CC1,-5.09
621,cyclohexanone,cyclohexanone,C1CCC(=O)CC1,C1CCC(=O)CC1,-6.25
622,hydrogenperoxide,cyclohexanone,OO,C1CCC(=O)CC1,-9.11
623,toluene,decalin,CC1=CC=CC=C1,C1CCC2CCCCC2C1,-4.37
624,phenol,decalin,C1=CC=C(C=C1)O,C1CCC2CCCCC2C1,-5.38
625,m-cresol,decalin,CC1=CC(=CC=C1)O,C1CCC2CCCCC2C1,-5.11
626,p-cresol,decalin,CC1=CC=C(C=C1)O,C1CCC2CCCCC2C1,-5.68
627,anisole,decalin,COC1=CC=CC=C1,C1CCC2CCCCC2C1,-5
628,acetophenone,decalin,CC(=O)C1=CC=CC=C1,C1CCC2CCCCC2C1,-6.23
630,propanoicacid,decalin,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1CCC2CCCCC2C1,-4.42
633,ethylacetate,decalin,CCOC(=O)C,C1CCC2CCCCC2C1,-3.47
634,propylacetate,decalin,CCCCC(=O)O,C1CCC2CCCCC2C1,-4.05
636,butylacetate,decalin,CCCCCC(=O)[O-],C1CCC2CCCCC2C1,-4.71
639,butylamine,decalin,CCCCN,C1CCC2CCCCC2C1,-3.72
640,aniline,decalin,C1=CC=C(C=C1)N,C1CCC2CCCCC2C1,-5.78
641,N-methylaniline,decalin,CNC1=CC=CC=C1,C1CCC2CCCCC2C1,-6.41
642,benzonitrile,decalin,C1=CC=C(C=C1)C#N,C1CCC2CCCCC2C1,-5.86
643,nitrobenzene,decalin,C1=CC=C(C=C1)[N+](=O)[O-],C1CCC2CCCCC2C1,-6.36
644,thioanisole,decalin,CSC1=CC=CC=C1,C1CCC2CCCCC2C1,-5.54
645,fluorobenzene,decalin,C1=CC=C(C=C1)F,C1CCC2CCCCC2C1,-3.44
646,chlorobenzene,decalin,C1=CC=C(C=C1)Cl,C1CCC2CCCCC2C1,-4.61
647,bromobenzene,decalin,C1=CC=C(C=C1)Br,C1CCC2CCCCC2C1,-5.25
648,methylbenzoate,decalin,COC(=O)C1=CC=CC=C1,C1CCC2CCCCC2C1,-6.76
649,iodobenzene,decalin,C1=CC=C(C=C1)I,C1CCC2CCCCC2C1,-5.96
650,n-octane,decane,CCCCCCCC,CCCCCCCCCC,-5.18
651,benzene,decane,C1=CC=CC=C1,CCCCCCCCCC,-3.8
652,toluene,decane,CC1=CC=CC=C1,CCCCCCCCCC,-4.65
653,ethylbenzene,decane,CCC1=CC=CC=C1,CCCCCCCCCC,-5.25
654,methanol,decane,CO,CCCCCCCCCC,-1.29
655,ethanol,decane,CCO,CCCCCCCCCC,-2.44
656,1-propanol,decane,CCCO,CCCCCCCCCC,-2.76
657,1-butanol,decane,CCCCO,CCCCCCCCCC,-3.77
658,1-pentanol,decane,CCCCCO,CCCCCCCCCC,-3.92
659,phenol,decane,C1=CC=C(C=C1)O,CCCCCCCCCC,-5.5
660,1-hexanol,decane,CCCCCCO,CCCCCCCCCC,-4.97
661,p-cresol,decane,CC1=CC=C(C=C1)O,CCCCCCCCCC,-6
662,1-heptanol,decane,CCCCCCCO,CCCCCCCCCC,-5.62
663,"1,4-dioxane",decane,C1COCCO1,CCCCCCCCCC,-3.97
664,acetone,decane,CC(=O)C,CCCCCCCCCC,-2.47
665,2-butanone,decane,CCC(=O)C,CCCCCCCCCC,-3.3
666,2-pentanone,decane,CCCC(=O)C,CCCCCCCCCC,-3.93
667,2-hexanone,decane,CCCCC(=O)C,CCCCCCCCCC,-4.61
668,"3,3-dimethylbutanone",decane,CC(=O)C(C)(C)C,CCCCCCCCCC,-4.15
669,2-heptanone,decane,CCCCCC(=O)C,CCCCCCCCCC,-5.18
672,ethylacetate,decane,CCOC(=O)C,CCCCCCCCCC,-3.43
673,propylacetate,decane,CCCCC(=O)O,CCCCCCCCCC,-4.02
675,butylacetate,decane,CCCCCC(=O)[O-],CCCCCCCCCC,-4.66
678,ethylamine,decane,CCN,CCCCCCCCCC,-1.92
679,propylamine,decane,CCCN,CCCCCCCCCC,-2.96
680,butylamine,decane,CCCCN,CCCCCCCCCC,-3.55
681,fluorobenzene,decane,C1=CC=C(C=C1)F,CCCCCCCCCC,-3.48
682,trichloroethene,decane,C(=C(Cl)Cl)Cl,CCCCCCCCCC,-3.84
683,chlorobenzene,decane,C1=CC=C(C=C1)Cl,CCCCCCCCCC,-4.93
684,bromobenzene,decane,C1=CC=C(C=C1)Br,CCCCCCCCCC,-5.43
685,acetamide,decane,CC(=O)N,CCCCCCCCCC,-2.85
686,nitromethane,decane,C[N+](=O)[O-],CCCCCCCCCC,-2.81
687,n-decane,decane,CCCCCCCCCC,CCCCCCCCCC,-6.53
688,4-methylaniline,decane,CC1=CC=C(C=C1)N,CCCCCCCCCC,-6.05
689,phenol,decanol,C1=CC=C(C=C1)O,CCCCCCCCCCO,-8.58
690,o-cresol,decanol,CC1=CC=CC=C1O,CCCCCCCCCCO,-8.58
691,m-cresol,decanol,CC1=CC(=CC=C1)O,CCCCCCCCCCO,-8.01
692,p-cresol,decanol,CC1=CC=C(C=C1)O,CCCCCCCCCCO,-8.91
693,1-decanol,decanol,CCCCCCCCCCO,CCCCCCCCCCO,-9.58
694,ethylamine,decanol,CCN,CCCCCCCCCCO,-3.91
695,propylamine,decanol,CCCN,CCCCCCCCCCO,-4.59
696,butylamine,decanol,CCCCN,CCCCCCCCCCO,-5.22
697,2-methoxyethanol,decanol,COCCO,CCCCCCCCCCO,-5.41
698,chlorobenzene,decanol,C1=CC=C(C=C1)Cl,CCCCCCCCCCO,-4.83
699,p-bromophenol,decanol,C1=CC(=CC=C1O)Br,CCCCCCCCCCO,-10.32
700,methanol,dibromoethane,CO,CC(Br)Br,-2.38
701,ethanol,dibromoethane,CCO,CC(Br)Br,-2.69
702,1-propanol,dibromoethane,CCCO,CC(Br)Br,-3.82
703,1-butanol,dibromoethane,CCCCO,CC(Br)Br,-4.65
704,1-pentanol,dibromoethane,CCCCCO,CC(Br)Br,-5.44
705,phenol,dibromoethane,C1=CC=C(C=C1)O,CC(Br)Br,-7.22
706,1-hexanol,dibromoethane,CCCCCCO,CC(Br)Br,-6.08
707,p-cresol,dibromoethane,CC1=CC=C(C=C1)O,CC(Br)Br,-7.52
708,1-heptanol,dibromoethane,CCCCCCCO,CC(Br)Br,-6.64
709,p-bromophenol,dibromoethane,C1=CC(=CC=C1O)Br,CC(Br)Br,-9.01
764,n-octane,diethylether,CCCCCCCC,CCOCC,-5.62
765,benzene,diethylether,C1=CC=CC=C1,CCOCC,-4.21
766,toluene,diethylether,CC1=CC=CC=C1,CCOCC,-5.23
767,ethylbenzene,diethylether,CCC1=CC=CC=C1,CCOCC,-5.45
768,o-xylene,diethylether,CC1=CC=CC=C1C,CCOCC,-5.58
769,m-xylene,diethylether,CC1=CC(=CC=C1)C,CCOCC,-5.56
770,naphthalene,diethylether,C1=CC=C2C=CC=CC2=C1,CCOCC,-7.25
771,methanol,diethylether,CO,CCOCC,-3.61
772,ethanol,diethylether,CCO,CCOCC,-4.41
773,"1,2-ethanediol",diethylether,C(CO)O,CCOCC,-6.2
774,1-propanol,diethylether,CCCO,CCOCC,-4.9
775,isopropanol,diethylether,CC(C)O,CCOCC,-4.44
776,1-butanol,diethylether,CCCCO,CCOCC,-5.69
777,t-butanol,diethylether,CC(C)(C)O,CCOCC,-4.8
778,cyclopentanol,diethylether,C1CCC(C1)O,CCOCC,-6.5
779,1-pentanol,diethylether,CCCCCO,CCOCC,-6.11
780,phenol,diethylether,C1=CC=C(C=C1)O,CCOCC,-8.75
781,1-hexanol,diethylether,CCCCCCO,CCOCC,-6.82
782,m-cresol,diethylether,CC1=CC(=CC=C1)O,CCOCC,-7.95
783,1-heptanol,diethylether,CCCCCCCO,CCOCC,-7.51
784,"1,4-dioxane",diethylether,C1COCCO1,CCOCC,-4.67
785,diethylether,diethylether,CCOCC,CCOCC,-3.39
786,anisole,diethylether,COC1=CC=CC=C1,CCOCC,-5.71
787,acetaldehyde,diethylether,CC=O,CCOCC,-2.85
788,propanal,diethylether,CCC=O,CCOCC,-3.85
789,benzaldehyde,diethylether,C1=CC=C(C=C1)C=O,CCOCC,-6.08
790,2-butanone,diethylether,CCC(=O)C,CCOCC,-4.09
791,acetophenone,diethylether,CC(=O)C1=CC=CC=C1,CCOCC,-6.79
793,propanoicacid,diethylether,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCOCC,-6.75
794,butanoicacid,diethylether,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCOCC,-7.32
796,hexanoicacid,diethylether,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CCOCC,-8.85
797,ethylamine,diethylether,CCN,CCOCC,-2.89
798,dimethylamine,diethylether,CNC,CCOCC,-2.63
799,propylamine,diethylether,CCCN,CCOCC,-3.65
800,trimethylamine,diethylether,CN(C)C,CCOCC,-2.78
801,butylamine,diethylether,CCCCN,CCOCC,-4.24
802,diethylamine,diethylether,CCNCC,CCOCC,-3.83
803,dipropylamine,diethylether,CCCNCCC,CCOCC,-4.96
804,pyridine,diethylether,C1=CC=NC=C1,CCOCC,-4.81
805,aniline,diethylether,C1=CC=C(C=C1)N,CCOCC,-6.51
806,acetonitrile,diethylether,CC#N,CCOCC,-3.59
807,benzonitrile,diethylether,C1=CC=C(C=C1)C#N,CCOCC,-6.36
808,nitrobenzene,diethylether,C1=CC=C(C=C1)[N+](=O)[O-],CCOCC,-6.85
809,2-methyl-1-nitrobenzene,diethylether,CC1=CC=CC=C1[N+](=O)[O-],CCOCC,-7.21
811,2-methoxyethanol,diethylether,COCCO,CCOCC,-5.12
812,m-hydroxybenzaldehyde,diethylether,C1=CC(=CC(=C1)O)C=O,CCOCC,-11.36
813,p-hydroxybenzaldehyde,diethylether,C1=CC(=CC=C1C=O)O,CCOCC,-12.07
814,chlorobenzene,diethylether,C1=CC=C(C=C1)Cl,CCOCC,-5.42
815,"1,4-dichlorobenzene",diethylether,C1=CC(=CC=C1Cl)Cl,CCOCC,-6.18
816,bromobenzene,diethylether,C1=CC=C(C=C1)Br,CCOCC,-5.99
817,ammonia,diethylether,N,CCOCC,-1.41
818,water,diethylether,O,CCOCC,-3.85
820,piperidine,diethylether,C1CCNCC1,CCOCC,-4.82
821,methylamine,diethylether,CN,CCOCC,-2.32
822,hydrazine,diethylether,NN,CCOCC,-3.08
823,acetamide,diethylether,CC(=O)N,CCOCC,-6.16
824,1-octanol,diethylether,CCCCCCCCO,CCOCC,-7.25
825,nitromethane,diethylether,C[N+](=O)[O-],CCOCC,-4.19
826,"N,N-dimethylformamide",diethylether,CN(C)C=O,CCOCC,-5.31
827,urea,diethylether,C(=O)(N)N,CCOCC,-9.11
828,benzamide,diethylether,C1=CC=C(C=C1)C(=O)N,CCOCC,-10.6
829,hydrogenperoxide,diethylether,OO,CCOCC,-7.03
830,formamide,diethylether,C(=O)N,CCOCC,-5.97
831,uracil,diethylether,C1=CNC(=O)NC1=O,CCOCC,-15.03
832,5-fluorouracil,diethylether,C1=C(C(=O)NC(=O)N1)F,CCOCC,-15.56
833,5-bromouracil,diethylether,C1=C(C(=O)NC(=O)N1)Br,CCOCC,-17.01
834,iodobenzene,diethylether,C1=CC=C(C=C1)I,CCOCC,-6.64
835,iodomethane,diethylether,CI,CCOCC,-3.51
836,n-octane,diisopropylether,CCCCCCCC,CC(C)OC(C)C,-5.38
837,toluene,diisopropylether,CC1=CC=CC=C1,CC(C)OC(C)C,-4.91
838,naphthalene,diisopropylether,C1=CC=C2C=CC=CC2=C1,CC(C)OC(C)C,-7.24
839,ethanol,diisopropylether,CCO,CC(C)OC(C)C,-3.9
840,phenol,diisopropylether,C1=CC=C(C=C1)O,CC(C)OC(C)C,-8.35
841,"1,4-dioxane",diisopropylether,C1COCCO1,CC(C)OC(C)C,-4.42
842,formaldehyde,diisopropylether,C=O,CC(C)OC(C)C,-1.04
843,2-butanone,diisopropylether,CCC(=O)C,CC(C)OC(C)C,-3.96
845,propanoicacid,diisopropylether,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CC(C)OC(C)C,-6.37
846,butanoicacid,diisopropylether,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CC(C)OC(C)C,-6.85
848,hexanoicacid,diisopropylether,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CC(C)OC(C)C,-8.23
849,trimethylamine,diisopropylether,CN(C)C,CC(C)OC(C)C,-2.74
850,diethylamine,diisopropylether,CCNCC,CC(C)OC(C)C,-3.78
851,pyridine,diisopropylether,C1=CC=NC=C1,CC(C)OC(C)C,-4.88
852,aniline,diisopropylether,C1=CC=C(C=C1)N,CC(C)OC(C)C,-6.67
853,p-hydroxybenzaldehyde,diisopropylether,C1=CC(=CC=C1C=O)O,CC(C)OC(C)C,-11.63
854,water,diisopropylether,O,CC(C)OC(C)C,-3.58
855,isopropylether,diisopropylether,CC(C)OC(C)C,CC(C)OC(C)C,-3.97
856,nitromethane,diisopropylether,C[N+](=O)[O-],CC(C)OC(C)C,-3.9
857,hydrogenperoxide,diisopropylether,OO,CC(C)OC(C)C,-6.72
858,n-octane,dimethylacetamide,CCCCCCCC,CC(=O)N(C)C,-3.94
859,toluene,dimethylacetamide,CC1=CC=CC=C1,CC(=O)N(C)C,-4.94
860,ethanol,dimethylacetamide,CCO,CC(=O)N(C)C,-5.4
861,"1,4-dioxane",dimethylacetamide,C1COCCO1,CC(=O)N(C)C,-5.01
862,2-butanone,dimethylacetamide,CCC(=O)C,CC(=O)N(C)C,-4.52
863,nitromethane,dimethylacetamide,C[N+](=O)[O-],CC(=O)N(C)C,-5.62
864,"N,N-dimethylacetamide",dimethylacetamide,CC(=O)N(C)C,CC(=O)N(C)C,-6.77
865,n-octane,dimethylformamide,CCCCCCCC,CN(C)C=O,-3.77
866,toluene,dimethylformamide,CC1=CC=CC=C1,CN(C)C=O,-4.88
867,ethanol,dimethylformamide,CCO,CN(C)C=O,-5.23
868,"1,4-dioxane",dimethylformamide,C1COCCO1,CN(C)C=O,-5.03
869,2-butanone,dimethylformamide,CCC(=O)C,CN(C)C=O,-4.56
870,nitromethane,dimethylformamide,C[N+](=O)[O-],CN(C)C=O,-5.66
871,"N,N-dimethylformamide",dimethylformamide,CN(C)C=O,CN(C)C=O,-6.47
872,n-octane,dimethylpyridine,CCCCCCCC,CC1=C(N=CC=C1)C,-4.88
873,toluene,dimethylpyridine,CC1=CC=CC=C1,CC1=C(N=CC=C1)C,-5.03
874,ethanol,dimethylpyridine,CCO,CC1=C(N=CC=C1)C,-4.87
875,"1,4-dioxane",dimethylpyridine,C1COCCO1,CC1=C(N=CC=C1)C,-4.9
876,2-butanone,dimethylpyridine,CCC(=O)C,CC1=C(N=CC=C1)C,-4.34
